UWI,Source,API Number,IC Number,Operator Name,Current Operator Name,Lease Name,Well Num,Field Name,State Name,County Name,Hole Direction,Well Status,Current Status,Geologic Province Name,Play Name,Play Type,Permit Number,Permit Date,Depth Total Driller,Depth Total Logger,Depth True Vertical,Depth Whipstock,Class Initial Name,Class Initial Code,Class Final Name,Class Final Code,Status Final Code,Formation Projected Name,Depth Total Projected,Formation at TD Name,Formation Producing Name,Elevation Reference Value,Elevation Reference Datum,Ground Elevation,Date Spud,Date Completion,Date Rig Release,Date Abandonment,Date First Report,Date Last Activity,Depth Water Value,Depth Water Datum,Surface Latitude,Surface Longitude,Surface LL Source,Proposed BH Latitude,Proposed BH Longitude,Proposed BH LL Source,BH Latitude,BH Longitude,BH LL Source,Activity Code,Permit Filer Long,Permit Phone
42013343070000,PI,42013343070000,42013708772010,HILCORP ENERGY CO,MARATHON OIL EF LLC,MAUCH,1H,EAGLEVILLE,TEXAS,ATASCOSA,HORIZONTAL,OIL,A,GULF COAST BASIN,,,697100,"Jun 07, 2010",15643,,11013,,DEVELOPMENT WELL,D,DEVELOPMENT WELL-OIL,DO,1,EAGLE FORD,13500,EAGLE FORD,AUSTIN /CHALK/ GROUP/,,,398,"Jun 29, 2010","Apr 29, 2011",,,"Jun 08, 2010","Mar 20, 2013",,,+28.7627100, -98.1730600,TS,+28.7523000, -98.1647700,TS,+28.7512100, -98.1640700,TS,C,,7132892764
42013343080000,PI,42013343080000,,HILCORP ENERGY CO,MARATHON OIL EF LLC,TOM,1H,SUGARKANE,TEXAS,ATASCOSA,HORIZONTAL,D&A,A,GULF COAST BASIN,,,697104,"Jun 08, 2010",15876,,10586,,DEVELOPMENT WELL,D,DEVELOPMENT WELL-DRY (INCLUDING TEMPORARILY ABANDONED WELL),D,0,CRETACEOUS,13500,EAGLE FORD,,,,410,"Jul 19, 2010","Aug 03, 2010",,,"Jun 09, 2010","Apr 18, 2013",,,+28.7573100, -98.1802900,TS,+28.7692000, -98.1899600,TS,+28.7692000, -98.1899600,TS,C,,7132892612
42013343110000,PI,42013343110000,,SHARON HUNTER RES,EAGLE FORD HUNTER RESOURCES INCORPORATED,LAGUNILLAS CAMP,1 H,EAGLEVILLE,TEXAS,ATASCOSA,HORIZONTAL,OIL,A,GULF COAST BASIN,,,699105,"Jul 22, 2010",13065,,8164,,DEVELOPMENT WELL,D,DEVELOPMENT WELL-OIL,DO,1,EAGLE FORD,8750,EAGLE FORD,EAGLE FORD,403,DF,376,"Aug 10, 2010","Jan 10, 2011","Sep 05, 2010",,"Jul 23, 2010","Apr 18, 2013",,,+28.7265100, -98.6691700,TS,+28.7366100, -98.6805800,TS,+28.7362132, -98.6802854,IH,C,,
42013343140100,PI,42013343140100,,COMSTOCK OIL&GAS LP,COMSTOCK OIL & GAS LIMITED PARTNERSHIP,NWR,1H,EAGLEVILLE,TEXAS,ATASCOSA,HORIZONTAL,OIL-WO,A,GULF COAST BASIN,,,700985,"Aug 25, 2010",13913,,8706,,DEVELOPMENT REDRILL,D R,DEVELOPMENT WELL-OIL,DO,1,EAGLE FORD,15000,EAGLE FORD,EAGLE FORD,411,KB,385,"Sep 24, 2010","Nov 25, 2010",,,"Aug 26, 2010","Oct 11, 2012",,,+28.7268500, -98.6295800,TS,+28.7115300, -98.6302300,TS,+28.7115292, -98.6302522,IH,C,,8008771322
42013343150000,PI,42013343150000,,SHARON HUNTER RES,EAGLE FORD HUNTER RESOURCES INCORPORATED,LAGUNILLAS CAMP,2H,EAGLEVILLE,TEXAS,ATASCOSA,HORIZONTAL,OIL,A,GULF COAST BASIN,,,701334,"Aug 31, 2010",12580,,8188,,DEVELOPMENT WELL,D,DEVELOPMENT WELL-OIL,DO,1,EAGLE FORD,8800,EAGLE FORD,EAGLE FORD,419,KB,391,"Sep 14, 2010","Dec 27, 2010","Oct 04, 2010",,"Sep 01, 2010","Apr 18, 2013",,,+28.7293400, -98.6679600,TS,+28.7384658, -98.6782183,IH,+28.7385300, -98.6783400,TS,C,,
42013343160000,PI,42013343160000,,EOG RESOURCES INC,EOG RESOURCES INCORPORATED,PEELER RANCH,4H,EAGLEVILLE,TEXAS,ATASCOSA,HORIZONTAL,OIL,A,GULF COAST BASIN,,,701890,"Sep 10, 2010",14648,,10013,,DEVELOPMENT WELL,D,DEVELOPMENT WELL-OIL,DO,1,EAGLE FORD,11500,EAGLE FORD,EAGLE FORD,,,350,"Sep 13, 2010","Jan 02, 2011","Oct 10, 2010",,"Sep 13, 2010","Mar 20, 2013",,,+28.6790900, -98.4706300,TS,+28.6674200, -98.4597400,TS,+28.6685100, -98.4606700,TS,C,,
42013343180000,PI,42013343180000,,CINCO NATURAL RES,CINCO NATURAL RESOURCES CORPORATION,HEARD J P-BOWER D,1H,EAGLEVILLE,TEXAS,ATASCOSA,HORIZONTAL,OIL,A,GULF COAST BASIN,,,702133,"Sep 17, 2010",15395,,11093,,DEVELOPMENT WELL,D,DEVELOPMENT WELL-OIL,DO,1,EAGLE FORD,10959,EAGLE FORD,EAGLE FORD,,,283,"Oct 24, 2010","Feb 24, 2011","Nov 28, 2010",,"Sep 20, 2010","Apr 18, 2013",,,+28.6858100, -98.2923500,TS,+28.6737100, -98.2862900,TS,+28.6737500, -98.2862600,TS,C,,3039287128
42013343190000,PI,42013343190000,,EOG RESOURCES INC,EOG RESOURCES INCORPORATED,RIPS JACK,1H,EAGLEVILLE,TEXAS,ATASCOSA,HORIZONTAL,OIL,A,GULF COAST BASIN,,,702326,"Sep 20, 2010",9140,,7268,,DEVELOPMENT WELL,D,DEVELOPMENT WELL-OIL,DO,1,EAGLE FORD,10000,EAGLE FORD,EAGLE FORD,,,385,"Oct 11, 2010","Dec 18, 2010","Nov 11, 2010",,"Sep 21, 2010","Oct 30, 2012",,,+28.9560600, -98.4465200,TS,+28.9517800, -98.4416100,TS,+28.9517500, -98.4416300,TS,C,,
42013343210000,PI,42013343210000,,PIONEER NAT RES USA,PIONEER NATURAL RESOURCES USA INC,TOM JUSTIN 01,01H,EAGLEVILLE,TEXAS,ATASCOSA,HORIZONTAL,OIL,A,GULF COAST BASIN,,,703041,"Oct 04, 2010",16057,,10766,,DEVELOPMENT WELL,D,DEVELOPMENT WELL-OIL,DO,1,EAGLE FORD,19000,EAGLE FORD,EAGLE FORD,,,321,"Oct 17, 2010","Mar 14, 2011","Nov 15, 2010",,"Oct 05, 2010","Apr 18, 2013",,,+28.6958200, -98.2717100,TS,+28.7102100, -98.2705000,TS,+28.7110700, -98.2704600,TS,C,,9729695728
42013343220000,PI,42013343220000,,PIONEER NAT RES USA,PIONEER NATURAL RESOURCES USA INC,TOM EDMUND 01,01H,EAGLEVILLE,TEXAS,ATASCOSA,HORIZONTAL,OIL,A,GULF COAST BASIN,,,703065,"Oct 11, 2010",15620,,10508,,DEVELOPMENT WELL,D,DEVELOPMENT WELL-OIL,DO,1,,19000,EAGLE FORD,EAGLE FORD,270,KB,245,"Oct 18, 2010","Jan 17, 2011","Nov 15, 2010",,"Oct 12, 2010","Oct 09, 2012",,,+28.6969800, -98.2952200,TS,+28.7112600, -98.2965500,TS,+28.7117300, -98.2958000,TS,C,,9729693957
42013343230000,PI,42013343230000,,PIONEER NAT RES USA,PIONEER NATURAL RESOURCES USA INC,TOM EDMUND 02,1H,EAGLEVILLE,TEXAS,ATASCOSA,HORIZONTAL,OIL,A,GULF COAST BASIN,,,703067,"Oct 05, 2010",14473,,10353,,DEVELOPMENT WELL,D,DEVELOPMENT WELL-OIL,DO,1,EAGLE FORD,19000,EAGLE FORD,EAGLE FORD,319,KB,296,"Oct 12, 2010","Feb 28, 2011","Nov 15, 2010",,"Oct 06, 2010","Dec 19, 2012",,,+28.7203100, -98.2811100,TS,+28.7315600, -98.2852200,TS,+28.7317900, -98.2853400,TS,C,,9729695728
42013343260000,PI,42013343260000,,EOG RESOURCES INC,EOG RESOURCES INCORPORATED,JENDRUSCH-GEROLD UNIT,1H,EAGLEVILLE,TEXAS,ATASCOSA,HORIZONTAL,OIL,A,GULF COAST BASIN,,,704122,"Oct 29, 2010",17617,,10217,,DEVELOPMENT WELL,D,DEVELOPMENT WELL-OIL,DO,1,EAGLE FORD,11500,EAGLE FORD,EAGLE FORD,,,360,"Dec 25, 2010","Mar 01, 2011",,,"Nov 01, 2010","Oct 09, 2012",,,+28.8438800, -98.2157400,TS,+28.8247400, -98.1977400,TS,+28.8271199, -98.1994779,IH,C,,
42013343290000,PI,42013343290000,,ABRAXAS PETRLM CORP,ABRAXAS PETROLEUM CORPORATION,GRASS FARM UNIT,1H,BRISCOE RANCH,TEXAS,ATASCOSA,HORIZONTAL,OIL,A,GULF COAST BASIN,,,705937,"Nov 30, 2010",13150,13150,7805,,DEVELOPMENT WELL,D,DEVELOPMENT WELL-OIL,DO,1,EAGLE FORD,7900,EAGLE FORD,EAGLE FORD,466,KB,443,"Jul 21, 2011","Nov 06, 2011","Aug 12, 2011",,"Dec 01, 2010","Jun 03, 2013",,,+28.9221400, -98.5228400,TS,+28.9079300, -98.5152400,TS,+28.9074800, -98.5159200,TS,C,,2104904788
42013343320000,PI,42013343320000,,CINCO NATURAL RES,CINCO NATURAL RESOURCES CORPORATION,CRAIN F,1H,EAGLEVILLE,TEXAS,ATASCOSA,HORIZONTAL,OIL,A,GULF COAST BASIN,,,706796,"Dec 14, 2010",13351,,8542,,DEVELOPMENT WELL,D,DEVELOPMENT WELL-OIL,DO,1,EAGLE FORD,8750,EAGLE FORD,EAGLE FORD,412,DF,389,"Jan 26, 2011","Apr 24, 2011","Mar 03, 2011",,"Dec 15, 2010","Dec 19, 2012",,,+28.7611500, -98.5423600,TS,+28.7749400, -98.5550200,TS,+28.7717500, -98.5522200,TS,C,,3039287128
42013343330000,PI,42013343330000,,EOG RESOURCES INC,EOG RESOURCES INCORPORATED,JENDRUSCH-GEROLD UNIT,2H,EAGLEVILLE,TEXAS,ATASCOSA,HORIZONTAL,OIL,A,GULF COAST BASIN,,,707348,"Dec 30, 2010",16477,,10191,,DEVELOPMENT WELL,D,DEVELOPMENT WELL-OIL,DO,1,EAGLE FORD,11500,EAGLE FORD,EAGLE FORD,370,DF,347,"Mar 04, 2011","Apr 29, 2011",,,"Jan 03, 2011","Oct 09, 2012",,,+28.8464600, -98.2119500,TS,+28.8277500, -98.1944500,TS,+28.8322852, -98.1984375,IH,C,,
42013343340100,PI,42013343340100,,EL PASO E & P CO LP,EP ENERGY E&P COMPANY LP,DAVIS-MCCRARY PROPERTY TRUST,1H,EAGLEVILLE,TEXAS,ATASCOSA,HORIZONTAL,OIL-WO,A,GULF COAST BASIN,,,707785,"Jan 04, 2011",12757,,7359,,DEVELOPMENT REDRILL,D R,DEVELOPMENT WELL-OIL,DO,1,EAGLE FORD,12500,EAGLE FORD,EAGLE FORD,495,KB,470,"Feb 19, 2011","May 01, 2011","Mar 02, 2011",,"Jan 05, 2011","Oct 09, 2012",,,+28.7711900, -98.7501700,TS,+28.7857800, -98.7546300,TS,+28.7855504, -98.7547417,IH,C,,7134204634
42013343350000,PI,42013343350000,,EOG RESOURCES INC,EOG RESOURCES INCORPORATED,JENDRUSCH-BARNES UNIT,1H,EAGLEVILLE,TEXAS,ATASCOSA,HORIZONTAL,OIL,A,GULF COAST BASIN,,,708287,"Jan 13, 2011",14540,,9429,,DEVELOPMENT WELL,D,DEVELOPMENT WELL-OIL,DO,1,EAGLE FORD,10900,EAGLE FORD,EAGLE FORD,354,DF,329,"Feb 06, 2011","Apr 13, 2011","Mar 04, 2011",,"Jan 14, 2011","Oct 30, 2012",,,+28.8471500, -98.2224000,TS,+28.8611600, -98.2377700,TS,+28.8577300, -98.2340200,TS,C,,
42013343380000,PI,42013343380000,,HILCORP ENERGY CO,MARATHON OIL EF LLC,CHAPMAN ROTHE UNIT,1H,EAGLEVILLE,TEXAS,ATASCOSA,HORIZONTAL,OIL,A,GULF COAST BASIN,,,709513,"Feb 09, 2011",15502,,10998,,DEVELOPMENT WELL,D,DEVELOPMENT WELL-OIL,DO,1,EAGLE FORD,13500,EAGLE FORD,EAGLE FORD,,,417,"Mar 14, 2011","Nov 01, 2011",,,"Feb 10, 2011","Mar 20, 2013",,,+28.8038600, -98.1215800,TS,+28.7942300, -98.1123400,TS,+28.7945900, -98.1127200,TS,C,,7132892764
42013343390000,PI,42013343390000,,HILCORP ENERGY CO,MARATHON OIL EF LLC,CHAPMAN PFEIL UNIT,1H,EAGLEVILLE,TEXAS,ATASCOSA,HORIZONTAL,OIL,A,GULF COAST BASIN,,,709520,"Feb 07, 2011",15239,,,,DEVELOPMENT WELL,D,DEVELOPMENT WELL-OIL,DO,1,EAGLE FORD,13500,EAGLE FORD,EAGLE FORD,575,KB,550,"Feb 25, 2011","Nov 01, 2011","Mar 11, 2011",,"Feb 08, 2011","May 29, 2013",,,+28.8039400, -98.1214800,TS,+28.8138300, -98.1311200,TS,+28.8137538, -98.1308813,IH,C,,7132892764
42013343400000,PI,42013343400000,,CINCO NATURAL RES,CINCO NATURAL RESOURCES CORPORATION,HEARD J P-BOWER E,3H,EAGLEVILLE,TEXAS,ATASCOSA,HORIZONTAL,OIL,A,GULF COAST BASIN,,,709985,"Feb 11, 2011",14904,14904,10700,,DEVELOPMENT WELL,D,DEVELOPMENT WELL-OIL,DO,1,EAGLE FORD,10959,EAGLE FORD,EAGLE FORD,,,290,"May 19, 2011","Sep 26, 2011","Jun 21, 2011",,"Feb 13, 2011","May 22, 2013",,,+28.6849800, -98.2983400,TS,+28.6960500, -98.3072300,TS,+28.6958600, -98.3071000,TS,C,,3039287128
42013343410000,PI,42013343410000,,HILCORP ENERGY CO,MARATHON OIL EF LLC,HIERHOLZER SEEWALD UNIT,1H,EAGLEVILLE,TEXAS,ATASCOSA,HORIZONTAL,OIL,A,GULF COAST BASIN,,,710281,"Feb 17, 2011",15015,,10970,,DEVELOPMENT WELL,D,DEVELOPMENT WELL-OIL,DO,1,EAGLE FORD,13500,EAGLE FORD,EAGLE FORD,,,401,"Apr 01, 2011","Oct 22, 2011",,,"Feb 18, 2011","Mar 20, 2013",,,+28.7986500, -98.1285200,TS,+28.7893500, -98.1189700,TS,+28.7891400, -98.1193000,TS,C,,7132892612
42013343420000,PI,42013343420000,,HILCORP ENERGY CO,MARATHON OIL EF LLC,HIERHOLZER RETZLOFF UNIT,1H,EAGLEVILLE,TEXAS,ATASCOSA,HORIZONTAL,OIL,A,GULF COAST BASIN,,,710283,"Feb 17, 2011",15450,,10543,,DEVELOPMENT WELL,D,DEVELOPMENT WELL-OIL,DO,1,EAGLE FORD,13500,EAGLE FORD,EAGLE FORD,,,399,"Apr 16, 2011","Oct 21, 2011",,,"Feb 18, 2011","Oct 09, 2012",,,+28.7988000, -98.1283800,TS,+28.8091500, -98.1373400,TS,+28.8088000, -98.1377000,TS,C,,7132892612
42013343430000,PI,42013343430000,,HILCORP ENERGY CO,MARATHON OIL EF LLC,HENKE `A` UNIT,1H,EAGLEVILLE,TEXAS,ATASCOSA,HORIZONTAL,OIL,A,GULF COAST BASIN,,,710463,"Feb 21, 2011",15763,,11156,,DEVELOPMENT WELL,D,DEVELOPMENT WELL-OIL,DO,1,EAGLE FORD,13500,EAGLE FORD,EAGLE FORD,382,KB,357,"Mar 11, 2011","Oct 21, 2011",,,"Feb 22, 2011","Mar 20, 2013",,,+28.7261100, -98.2041200,TS,+28.7159500, -98.1943500,TS,+28.7160600, -98.1944600,TS,C,,7132892764
42013343440000,PI,42013343440000,,HILCORP ENERGY CO,MARATHON OIL EF LLC,HENKE `B` UNIT,1H,EAGLEVILLE,TEXAS,ATASCOSA,HORIZONTAL,OIL,A,GULF COAST BASIN,,,710469,"Feb 21, 2011",15634,,11146,,DEVELOPMENT WELL,D,DEVELOPMENT WELL-OIL,DO,1,EAGLE FORD,13500,EAGLE FORD,EAGLE FORD,,,375,"Apr 02, 2011","Oct 21, 2011","May 25, 2011",,"Feb 22, 2011","Oct 09, 2012",,,+28.7305800, -98.1982200,TS,+28.7203100, -98.1884100,TS,+28.7203100, -98.1884100,TS,C,,7132892764
42013343450000,PI,42013343450000,,EP ENERGY E&P CO LP,EP ENERGY E&P COMPANY LP,HINDES BOB,1H,EAGLEVILLE,TEXAS,ATASCOSA,HORIZONTAL,OIL,A,GULF COAST BASIN,,,710489,"Feb 21, 2011",11985,11985,7172,,DEVELOPMENT WELL,D,DEVELOPMENT WELL-OIL,DO,1,EAGLE FORD,9500,EAGLE FORD,EAGLE FORD,,,471,"Oct 18, 2012","Dec 04, 2012","Oct 29, 2012",,"Feb 22, 2011","May 22, 2013",,,+28.8040500, -98.7182000,TS,+28.8172500, -98.7224000,TS,+28.8172300, -98.7224500,TS,C,,
42013343470000,PI,42013343470000,,PIONEER NAT RES USA,PIONEER NATURAL RESOURCES USA INC,TOM EDMUND 02,2H,EAGLEVILLE,TEXAS,ATASCOSA,HORIZONTAL,OIL,A,GULF COAST BASIN,,,712358,"Mar 23, 2011",16481,16481,10615,,DEVELOPMENT WELL,D,DEVELOPMENT WELL-OIL,DO,1,EAGLE FORD,21000,EAGLE FORD,EAGLE FORD,,,275,"Apr 01, 2011","Jun 26, 2011","Apr 26, 2011",,"Mar 24, 2011","Oct 24, 2012",,,+28.6962400, -98.2909500,TS,+28.7112800, -98.2891700,TS,+28.7112800, -98.2891700,TS,C,,9729693957
42013343490000,PI,42013343490000,,EOG RESOURCES INC,EOG RESOURCES INCORPORATED,BERYL UNIT,2H,EAGLEVILLE,TEXAS,ATASCOSA,HORIZONTAL,OIL,A,GULF COAST BASIN,,,712469,"Mar 25, 2011",14750,,10296,,DEVELOPMENT WELL,D,DEVELOPMENT WELL-OIL,DO,1,EAGLE FORD,11400,EAGLE FORD,EAGLE FORD,,,380,"Jul 10, 2011","Sep 14, 2011","Jul 25, 2011",,"Mar 28, 2011","Oct 30, 2012",,,+28.8400200, -98.2007100,TS,+28.8294200, -98.1909400,TS,+28.8294800, -98.1908500,TS,C,,
