Sequence,Uwi,Rules.Based.Score
329,42123326670000,350
330,42123326700000,350
331,42123326710000,400
332,42123326730000,400
333,42123326740000,350
334,42123326850000,450
335,42123326930000,350
336,42123326940000,400
337,42123326960000,400
338,42123326970000,350
339,42123327040000,250
340,42123327110000,350
341,42123327130000,450
342,42123327340000,350
343,42127333980100,350
344,42127334210100,150
345,42127336120000,350
346,42127336130000,200
347,42127336150000,350
348,42127336180000,350
349,42127336200000,300
350,42127336210000,300
351,42127336240000,350
352,42127336280000,150
353,42127336290000,350
354,42127336330000,350
355,42127336370000,350
356,42127336430000,350
357,42127336440000,350
358,42127336460000,350
359,42127336480000,350
360,42127336550100,300
361,42127336570000,350
362,42127336580000,300
363,42127336590000,350
364,42127336600000,350
365,42127336610000,350
366,42127336640000,350
367,42127336650000,200
368,42127336670000,300
369,42127336680000,300
370,42127336730000,350
371,42127336740000,350
372,42127336770000,350
373,42127336780000,300
374,42127336800000,350
375,42127336810000,350
376,42127336840000,350
377,42127336850000,350
378,42127336860000,350
379,42127336870000,350
380,42127336890000,350
381,42127336900000,350
382,42127336910000,350
383,42127336920000,200
384,42127336940000,350
385,42127336980000,50
386,42127337010000,150
387,42127337020000,150
388,42127337030000,350
389,42127337050000,350
390,42127337060000,350
391,42127337070100,350
392,42127337080000,350
393,42127337090000,350
394,42127337100000,350
395,42127337130000,300
396,42127337150000,0
397,42127337160000,200
398,42127337170000,350
399,42127337190000,350
400,42127337200000,300
401,42127337210000,300
402,42127337220000,300
403,42127337230000,350
404,42127337240000,350
405,42127337250000,350
406,42127337280000,100
407,42127337290000,350
408,42127337300000,300
409,42127337350000,350
410,42127337370000,250
411,42127337380000,250
412,42127337400000,350
413,42127337450000,350
414,42127337460000,200
415,42127337480000,200
416,42127337490000,350
417,42127337500000,250
418,42127337530000,350
419,42127337550000,350
420,42127337560000,350
421,42127337570000,350
422,42127337590000,300
423,42127337600000,350
424,42127337610000,350
425,42127337620000,350
426,42127337630000,350
427,42127337640000,200
428,42127337650000,200
429,42127337660100,300
430,42127337670000,300
431,42127337680000,350
432,42127337690000,350
433,42127337700000,350
434,42127337710000,350
435,42127337720000,350
436,42127337730000,350
437,42127337770000,350
438,42127337780000,350
439,42127337790000,350
440,42127337800000,350
441,42127337810000,350
442,42127337820000,350
443,42127337830000,350
444,42127337840000,350
445,42127337850000,350
446,42127337860000,350
447,42127337870000,300
448,42127337890000,250
449,42127337900000,350
450,42127337910000,350
451,42127337920000,350
452,42127337950000,200
453,42127337960000,150
454,42127338000000,300
455,42127338010000,350
456,42127338030000,150
457,42127338040000,350
458,42127338050000,350
459,42127338060000,350
460,42127338090000,350
461,42127338100000,200
462,42127338130000,350
463,42127338140000,350
464,42127338220000,250
465,42127338230000,250
466,42127338240000,250
467,42127338270000,350
468,42127338290000,350
469,42127338300000,250
470,42127338310000,200
471,42127338330000,350
472,42127338350000,350
473,42127338360000,250
474,42127338370000,300
475,42127338380000,300
476,42127338390000,300
477,42127338410100,350
478,42127338420000,350
479,42127338430200,100
480,42127338440000,300
481,42127338450000,350
482,42127338460000,350
483,42127338470000,350
484,42127338480000,350
485,42127338490000,350
486,42127338500000,350
487,42127338510000,150
488,42127338520000,350
489,42127338530000,350
490,42127338540000,350
491,42127338550000,350
492,42127338560000,350
493,42127338570000,350
494,42127338630000,350
495,42127338640000,350
496,42127338650000,350
497,42127338660000,350
498,42127338670100,350
499,42127338680000,300
500,42127338710000,350
501,42127338720000,350
502,42127338730000,350
503,42127338740000,350
504,42127338750000,350
505,42127338760000,350
506,42127338770000,300
507,42127338790000,350
508,42127338800000,350
509,42127338810000,350
510,42127338830000,350
511,42127338840000,350
512,42127338850000,350
513,42127338860000,300
514,42127338900000,350
515,42127338910000,350
516,42127338930000,350
517,42127338940000,350
518,42127338950000,350
519,42127338970000,250
520,42127338990000,300
521,42127339030000,350
522,42127339040000,350
523,42127339050000,350
524,42127339060000,300
525,42127339080000,300
526,42127339090000,350
527,42127339110000,250
528,42127339120000,350
529,42127339130000,300
530,42127339140000,350
531,42127339160000,350
532,42127339170000,350
533,42127339190000,350
534,42127339200000,350
535,42127339210000,350
536,42127339220000,150
537,42127339230000,350
538,42127339260100,350
539,42127339270000,350
540,42127339280000,350
541,42127339290000,350
542,42127339310000,350
543,42127339330000,350
544,42127339340000,350
545,42127339350000,350
546,42127339360000,300
547,42127339370000,350
548,42127339380000,350
549,42127339390000,350
550,42127339440000,300
551,42127339450000,200
552,42127339460000,300
553,42127339470000,350
554,42127339480000,350
555,42127339490000,350
556,42127339510000,350
557,42127339520000,350
558,42127339530000,350
559,42127339580000,200
560,42127339590000,200
561,42127339600000,300
562,42127339620000,150
563,42127339640000,350
564,42127339650000,350
565,42127339680000,350
566,42127339700000,350
567,42127339710000,350
568,42127339720000,350
569,42127339740000,350
570,42127339760000,300
571,42127339770000,350
572,42127339780000,350
573,42127339790000,350
574,42127339800000,250
575,42127339810000,350
576,42127339820000,350
577,42127339840000,350
578,42127339850000,350
579,42127339860000,350
580,42127339870000,300
581,42127339910000,300
582,42127339950000,350
583,42127339960100,350
584,42127339980000,250
585,42127339990000,350
586,42127340010100,350
587,42127340100000,350
588,42127340730000,100
589,42127340750000,350
590,42127340940000,100
591,42127340950000,350
592,42127340960000,350
593,42127340980000,350
594,42127341010000,300
595,42127341040000,350
596,42127341070000,350
597,42127341080000,300
598,42127341090000,300
599,42127341100000,300
600,42127341110000,300
601,42127341120000,350
602,42127341140000,350
603,42127341150000,350
604,42127341160000,350
605,42127341170000,350
606,42127341180000,350
607,42127341280000,350
608,42127341290000,350
609,42127341300000,350
610,42127341310000,100
611,42127341330000,350
612,42127341340000,350
613,42127341350000,350
614,42127341360000,350
615,42127341370000,350
616,42127341400000,100
617,42127341420000,350
618,42127341430000,350
619,42127341440000,350
620,42127341450000,350
621,42127341460000,250
622,42127341480000,300
623,42127341490000,350
624,42127341510000,350
625,42127341520000,350
626,42127341550000,350
627,42127341560000,350
628,42127341570000,350
629,42127341580000,350
630,42127341600000,350
631,42127341610000,350
632,42127341620000,350
633,42127341630000,350
634,42127341640000,200
635,42127341650000,350
636,42127341660000,350
637,42127341670000,350
638,42127341680000,250
639,42127341690000,350
640,42127341700000,350
641,42127341710000,350
642,42127341720000,350
643,42127341740000,350
644,42127341750000,350
645,42127341760000,350
646,42127341770000,200
647,42127341810000,350
648,42127341820000,350
649,42127341830000,350
650,42127341840000,350
651,42127341850000,350
652,42127341870000,350
653,42127341910000,350
654,42127341930000,350
655,42127341940000,350
656,42127341950000,350
657,42127341960000,350
658,42127342010000,150
659,42127342040000,350
660,42127342050000,350
661,42127342060000,350
662,42127342080000,350
663,42127342090000,350
664,42127342100000,350
665,42127342110000,350
666,42127342120000,300
667,42127342140000,350
668,42127342150000,350
669,42127342160000,350
670,42127342200000,200
671,42127342210000,350
672,42127342220000,350
673,42127342230000,350
674,42127342250000,250
675,42127342260000,350
676,42127342270000,300
677,42127342280000,350
678,42127342290000,350
679,42127342300000,350
680,42127342310000,350
681,42127342320000,250
682,42127342330000,350
683,42127342340000,350
684,42127342350000,350
685,42127342360000,300
686,42127342460000,350
687,42127342490000,350
688,42127342510000,350
689,42127342520000,350
690,42127342560000,300
691,42127342570000,300
692,42127342590000,350
693,42127342600000,350
694,42127342610000,350
695,42127342680000,150
696,42127342710000,350
697,42127342730000,300
698,42127342740000,300
699,42127342750000,300
700,42127342760000,300
701,42127342780000,300
702,42127342810000,350
703,42127342840000,300
704,42127342850000,300
705,42127342930000,350
706,42127342980000,350
707,42127343070000,350
708,42127343100000,300
709,42127343110000,300
710,42127343120000,350
711,42127343130000,300
712,42127343150000,350
713,42127343160000,350
714,42127343170000,350
715,42127343180000,350
716,42127343190000,350
717,42127343200000,350
718,42127343230000,350
719,42127343240000,300
720,42127343250000,300
721,42127343310000,350
722,42127343380000,350
723,42127343390000,350
724,42127343400000,350
725,42127343420000,300
726,42127343430000,350
727,42127343440000,350
728,42127343460000,300
729,42127343560000,350
730,42127343570000,350
731,42127343630000,350
732,42127343640000,350
733,42127343650000,350
734,42127343660000,350
735,42127343670000,350
736,42127343680000,350
737,42127343690000,350
738,42127343700000,350
739,42127343710000,350
740,42127343740000,300
741,42127343750000,350
742,42127343760000,350
743,42127343770000,350
744,42127343780000,350
745,42127343790000,350
746,42127343880000,350
747,42127343890000,350
748,42127343900000,350
749,42127343950000,350
750,42127344030000,350
751,42127344050100,200
752,42127344110000,300
753,42127344200000,300
754,42127344240000,300
755,42127344250000,350
756,42127344260000,350
757,42127344370000,350
758,42127344530000,350
759,42127344640000,350
760,42127344670000,300
761,42127344950000,350
762,42127345210000,350
763,42127346290000,350
764,42149332290000,100
765,42149332370000,150
766,42163334030100,-50
767,42163334130000,0
768,42163334150000,50
769,42163334160000,-100
770,42163334190000,100
771,42163334250000,-100
772,42163334270000,-100
773,42163334310000,50
774,42163334370000,50
775,42163334400000,50
776,42163334420000,-100
777,42163334450000,0
778,42163334460000,50
779,42163334530000,50
780,42163334560000,0
781,42163334580000,50
782,42163334610000,50
783,42163334620000,100
784,42163334710000,0
785,42163334750000,50
786,42163334760000,100
787,42163334770000,150
788,42163334780000,50
789,42163334790000,100
790,42163334820000,50
791,42163334840000,100
792,42163334860000,150
793,42163334880000,100
794,42163334910000,100
795,42163334930000,0
796,42163334950000,-100
797,42163334990000,100
798,42163335000000,100
799,42163335010000,100
800,42163335100000,100
801,42163335120000,100
802,42163335170000,150
803,42163335190000,-50
804,42163335200000,0
805,42163335210000,0
806,42163335220000,-50
807,42163335280000,-50
808,42163335330000,0
809,42163335420100,-50
810,42163335440000,0
811,42163335470000,0
812,42163335550000,0
813,42163335610000,50
814,42163335620000,-50
815,42163335640000,-50
816,42163335680000,0
817,42177319790200,250
818,42177320710100,350
819,42177320830000,350
820,42177320850000,350
821,42177320920000,350
822,42177320930000,350
823,42177320940000,350
824,42177320950000,350
825,42177320980000,350
826,42177320990000,350
827,42177321000000,350
828,42177321010000,100
829,42177321020000,350
830,42177321030000,300
831,42177321040000,350
832,42177321050000,350
833,42177321060000,350
834,42177321070000,350
835,42177321080000,350
836,42177321090000,350
837,42177321100000,350
838,42177321110000,350
839,42177321130000,350
840,42177321150000,350
841,42177321160000,300
842,42177321170000,350
843,42177321180000,350
844,42177321190000,350
845,42177321210000,350
846,42177321230000,350
847,42177321240000,350
848,42177321250000,250
849,42177321260000,350
850,42177321270000,250
851,42177321280000,350
852,42177321290000,350
853,42177321300000,350
854,42177321320000,250
855,42177321330000,150
856,42177321340000,200
857,42177321350000,350
858,42177321360000,350
859,42177321390000,350
860,42177321400000,300
861,42177321410000,350
862,42177321420000,350
863,42177321430000,300
864,42177321440000,350
865,42177321450000,150
866,42177321460000,100
867,42177321470000,350
868,42177321480000,300
869,42177321490000,300
870,42177321500100,150
871,42177321510100,200
872,42177321520000,350
873,42177321530000,200
874,42177321540000,200
875,42177321560000,350
876,42177321570000,350
877,42177321580000,350
878,42177321590000,350
879,42177321600000,350
880,42177321610000,100
881,42177321650100,250
882,42177321660000,350
883,42177321670000,50
884,42177321690000,50
885,42177321710000,350
886,42177321720000,350
887,42177321740000,350
888,42177321750000,250
889,42177321760000,350
890,42177321770000,0
891,42177321780000,200
892,42177321790000,150
893,42177321800000,0
894,42177321820000,250
895,42177321830100,200
896,42177321850000,0
897,42177321860000,0
898,42177321870000,100
899,42177321880000,350
900,42177321900000,350
901,42177321910000,350
902,42177321920000,350
903,42177321930000,350
904,42177321940000,350
905,42177321960000,350
906,42177321970000,350
907,42177321990000,350
908,42177322000100,350
909,42177322060000,50
910,42177322080100,150
911,42177322090100,150
912,42177322100000,200
913,42177322130000,200
914,42177322140000,0
915,42177322150000,0
916,42177322160000,200
917,42177322170000,200
918,42177322180100,200
919,42177322190000,350
920,42177322200000,350
921,42177322220000,200
922,42177322240000,350
923,42177322250000,350
924,42177322260000,350
925,42177322270000,350
926,42177322280000,350
927,42177322290000,350
928,42177322320000,350
929,42177322330000,350
930,42177322340000,350
931,42177322350200,350
932,42177322360000,350
933,42177322370000,0
934,42177322380000,350
935,42177322390000,350
936,42177322400000,150
937,42177322410000,200
938,42177322440000,0
939,42177322480000,150
940,42177322490000,0
941,42177322500000,300
942,42177322510000,350
943,42177322520000,350
944,42177322530000,350
945,42177322540000,350
946,42177322550000,350
947,42177322560000,350
948,42177322630000,350
949,42177322640000,0
950,42177322650000,200
951,42177322660000,50
952,42177322690000,-50
953,42177322700000,50
954,42177322710000,0
955,42177322760000,200
956,42177322770000,350
957,42177322780000,350
958,42177322790000,200
959,42177322800000,200
960,42177322810100,150
961,42177322840000,350
962,42177322860000,250
963,42177322870000,350
964,42177322920000,200
965,42177322930000,250
966,42177322970000,150
967,42177322980000,150
968,42177322990000,100
969,42177323000000,200
970,42177323030000,200
971,42177323040000,200
972,42177323050000,150
973,42177323060000,150
974,42177323080000,150
975,42177323100000,350
976,42177323110000,350
977,42177323120000,350
978,42177323130000,350
979,42177323150100,200
980,42177323160000,200
981,42177323170000,300
982,42177323190000,350
983,42177323200000,300
984,42177323220000,350
985,42177323240000,350
986,42177323250000,200
987,42177323270000,350
988,42177323280000,200
989,42177323290000,350
990,42177323300000,350
991,42177323310000,350
992,42177323320000,350
993,42177323330000,200
994,42177323360000,200
995,42177323370000,350
996,42177323380000,200
997,42177323430000,350
998,42177323450000,350
999,42177323460000,100
1000,42177323470000,350
1001,42177323480000,350
1002,42177323490000,350
1003,42177323500000,350
1004,42177323510000,250
1005,42177323530000,350
1006,42177323540000,300
1007,42177323560000,350
1008,42177323570000,200
1009,42177323580000,350
1010,42177323590000,350
1011,42177323610000,300
1012,42177323630000,300
1013,42177323650000,350
1014,42177323660000,200
1015,42177323700000,350
1016,42177323710000,350
1017,42177323720000,150
1018,42177323730000,150
1019,42177323750000,200
1020,42177323760000,250
1021,42177323790000,250
1022,42177323860000,200
1023,42177323870000,350
1024,42177323880000,350
1025,42177323890000,350
1026,42177323900000,350
1027,42177323910000,150
1028,42177323930000,350
1029,42177323940000,300
1030,42177323980000,250
1031,42177323990000,250
1032,42177324000000,350
1033,42177324010000,350
1034,42177324030000,350
1035,42177324040000,350
1036,42177324060000,350
1037,42177324110000,350
1038,42177324120000,350
1039,42177324130000,350
1040,42177324150000,350
1041,42177324160000,250
1042,42177324170200,100
1043,42177324180000,250
1044,42177324190000,350
1045,42177324210000,350
1046,42177324220000,350
1047,42177324230000,350
1048,42177324240000,200
1049,42177324250000,250
1050,42177324270000,350
1051,42177324280000,350
1052,42177324290000,350
1053,42177324330000,350
1054,42177324370000,350
1055,42177324390000,200
1056,42177324400000,350
1057,42177324410000,350
1058,42177324420000,350
1059,42177324440000,300
1060,42177324450000,350
1061,42177324460100,250
1062,42177324480000,350
1063,42177324490000,350
1064,42177324500000,350
1065,42177324510000,350
1066,42177324520000,350
1067,42177324530000,350
1068,42177324540000,350
1069,42177324550000,350
1070,42177324560000,350
1071,42177324570000,250
1072,42177324610000,350
1073,42177324620000,350
1074,42177324630000,300
1075,42177324660000,350
1076,42177324670000,150
1077,42177324710000,350
1078,42177324720000,200
1079,42177324780000,200
1080,42177324800000,250
1081,42177324810000,250
1082,42177324870000,350
1083,42177324940000,300
1084,42177324950000,350
1085,42177324960000,350
1086,42177324970000,150
1087,42177324980000,350
1088,42177324990000,350
1089,42177325050000,350
1090,42177325100000,250
1091,42177325120000,350
1092,42177325180000,250
1093,42177325250000,350
1094,42177325260000,0
1095,42255315930000,350
1096,42255316080000,350
1097,42255316180000,350
1098,42255316200000,350
1099,42255316290000,350
1100,42255316330000,200
1101,42255316350100,350
1102,42255316370000,300
1103,42255316380000,350
1104,42255316410000,250
1105,42255316450000,350
1106,42255316460000,250
1107,42255316490000,250
1108,42255316530000,50
1109,42255316560000,350
1110,42255316570000,400
1111,42255316580000,250
1112,42255316590000,200
1113,42255316650000,300
1114,42255316660000,250
1115,42255316670000,250
1116,42255316690000,400
1117,42255316710000,350
1118,42255316730000,350
1119,42255316740000,350
1120,42255316750000,150
1121,42255316760000,300
1122,42255316790000,350
1123,42255316800000,350
1124,42255316810000,350
1125,42255316830000,350
1126,42255316840000,350
1127,42255316850000,350
1128,42255316880000,350
1129,42255316890000,300
1130,42255316900000,350
1131,42255316910000,350
1132,42255316940000,400
1133,42255316950000,250
1134,42255316960000,350
1135,42255316970000,350
1136,42255317000100,350
1137,42255317010000,350
1138,42255317020000,350
1139,42255317030100,350
1140,42255317040000,350
1141,42255317050000,100
1142,42255317060000,350
1143,42255317070000,350
1144,42255317090000,350
1145,42255317100000,350
1146,42255317130000,300
1147,42255317140000,350
1148,42255317150000,350
1149,42255317160000,350
1150,42255317170000,200
1151,42255317180000,300
1152,42255317190000,400
1153,42255317210000,350
1154,42255317220000,300
1155,42255317250000,350
1156,42255317260000,250
1157,42255317270000,250
1158,42255317280000,400
1159,42255317290000,250
1160,42255317300000,250
1161,42255317310000,350
1162,42255317320000,350
1163,42255317330000,350
1164,42255317340000,300
1165,42255317350000,250
1166,42255317360000,350
1167,42255317370000,350
1168,42255317380000,150
1169,42255317390000,200
1170,42255317410000,400
1171,42255317430000,200
1172,42255317440000,350
1173,42255317450000,350
1174,42255317460000,400
1175,42255317470000,200
1176,42255317480000,300
1177,42255317490000,400
1178,42255317500000,250
1179,42255317520000,350
1180,42255317530000,150
1181,42255317560000,350
1182,42255317570000,150
1183,42255317580000,300
1184,42255317600000,100
1185,42255317610000,350
1186,42255317630000,250
1187,42255317660000,150
1188,42255317670200,100
1189,42255317680000,250
1190,42255317700000,400
1191,42255317710000,400
1192,42255317730100,350
1193,42255317750000,350
1194,42255317770000,350
1195,42255317810000,350
1196,42255317830000,150
1197,42255317840100,350
1198,42255317850000,300
1199,42255317860000,350
1200,42255317880000,300
1201,42255317890000,250
1202,42255317900000,350
1203,42255317910000,350
1204,42255317930000,350
1205,42255317940000,350
1206,42255317950000,400
1207,42255317960000,350
1208,42255317970000,350
1209,42255317980000,350
1210,42255317990000,400
1211,42255318010000,300
1212,42255318040000,350
1213,42255318050000,400
1214,42255318060000,350
1215,42255318080000,350
1216,42255318090000,350
1217,42255318100000,350
1218,42255318110000,350
1219,42255318130000,300
1220,42255318140000,250
1221,42255318150000,250
1222,42255318160000,350
1223,42255318170000,150
1224,42255318180000,250
1225,42255318190000,350
1226,42255318200100,350
1227,42255318210000,350
1228,42255318230000,350
1229,42255318240000,300
1230,42255318260000,250
1231,42255318280000,250
1232,42255318290000,350
1233,42255318320000,350
1234,42255318330000,150
1235,42255318340000,350
1236,42255318360000,350
1237,42255318370000,350
1238,42255318380000,350
1239,42255318390100,350
1240,42255318410000,350
1241,42255318420000,250
1242,42255318430000,400
1243,42255318450000,350
1244,42255318460000,350
1245,42255318470000,150
1246,42255318480000,350
1247,42255318530000,300
1248,42255318550000,350
1249,42255318560000,350
1250,42255318570000,300
1251,42255318580000,350
1252,42255318590000,350
1253,42255318600000,350
1254,42255318630000,350
1255,42255318640000,250
1256,42255318650000,250
1257,42255318670000,350
1258,42255318680000,400
1259,42255318690100,300
1260,42255318700000,300
1261,42255318710000,150
1262,42255318720000,400
1263,42255318730000,400
1264,42255318740000,350
1265,42255318750000,250
1266,42255318760000,350
1267,42255318770000,250
1268,42255318790000,400
1269,42255318800000,350
1270,42255318810000,300
1271,42255318820000,350
1272,42255318830000,350
1273,42255318840100,350
1274,42255318850100,150
1275,42255318870000,250
1276,42255318900000,350
1277,42255318910000,350
1278,42255318920000,400
1279,42255318930100,350
1280,42255318950000,350
1281,42255318960000,250
1282,42255318970000,400
1283,42255318980000,250
1284,42255318990000,250
1285,42255319000000,150
1286,42255319020000,350
1287,42255319030100,350
1288,42255319040000,250
1289,42255319050000,400
1290,42255319080000,350
1291,42255319100000,350
1292,42255319110000,350
1293,42255319120000,350
1294,42255319140000,350
1295,42255319150000,350
1296,42255319160000,350
1297,42255319180000,250
1298,42255319190000,350
1299,42255319200000,300
1300,42255319210000,350
1301,42255319220000,400
1302,42255319230000,150
1303,42255319240000,350
1304,42255319250000,350
1305,42255319270000,250
1306,42255319280000,300
1307,42255319300000,150
1308,42255319310000,350
1309,42255319320000,350
1310,42255319330000,350
1311,42255319340100,350
1312,42255319350000,350
1313,42255319360000,350
1314,42255319380000,350
1315,42255319390000,300
1316,42255319400000,350
1317,42255319410000,350
1318,42255319430000,250
1319,42255319440000,250
1320,42255319470000,200
1321,42255319480000,350
1322,42255319490000,200
1323,42255319500000,350
1324,42255319510000,300
1325,42255319520000,350
1326,42255319530000,350
1327,42255319540000,350
1328,42255319550000,350
1329,42255319570000,150
1330,42255319590000,350
1331,42255319600000,350
1332,42255319610000,350
1333,42255319620000,200
1334,42255319630000,350
1335,42255319640000,350
1336,42255319650100,150
1337,42255319660000,150
1338,42255319670100,350
1339,42255319680000,300
1340,42255319690000,250
1341,42255319700000,350
1342,42255319730000,250
1343,42255319740000,250
1344,42255319750000,250
1345,42255319760000,250
1346,42255319770000,350
1347,42255319780000,250
1348,42255319790000,200
1349,42255319810000,400
1350,42255319830000,350
1351,42255319840000,350
1352,42255319860000,300
1353,42255319870000,250
1354,42255319890000,250
1355,42255319900000,250
1356,42255319910000,150
1357,42255319920000,350
1358,42255319950000,350
1359,42255319960000,150
1360,42255319980000,300
1361,42255320010000,350
1362,42255320020000,350
1363,42255320030000,150
1364,42255320040000,250
1365,42255320050000,400
1366,42255320060000,200
1367,42255320070000,350
1368,42255320080000,400
1369,42255320090000,250
1370,42255320100000,400
1371,42255320110000,400
1372,42255320120000,400
1373,42255320140000,250
1374,42255320150000,300
1375,42255320160000,350
1376,42255320170000,350
1377,42255320190000,350
1378,42255320200000,350
1379,42255320210000,350
1380,42255320220000,350
1381,42255320230000,300
1382,42255320240000,300
1383,42255320260000,200
1384,42255320280000,350
1385,42255320290000,350
1386,42255320300000,350
1387,42255320310000,350
1388,42255320320000,350
